,state,district,latitude,longitude,population,male,female,literate,literate males,literate females,Scheduled Caste,Scheduled Castes - Males,Scheduled Castes - Females,Scheduled Tribes,Scheduled Tribes - Males,Scheduled Tribes - Females,Workers,Male workers,Female workers,Main workers,Marginal workers,Non-workers,Cultivator workers,Agricultural workers,Household workers,Other workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other religions,Religion not stated,Households with LPG or PNG,Households with electric lightning,Households with internet,Households with computer,Rural households,Urban households,households,Below primary education,Higher graduation,Graduate education,Individuals in age group 0-29 years,Individuals in age group 30-49 years,Individuals in age group above 50 years,Households with bicycle,Households with car/jeep/van,Households with radio transistor,Households with scooter motorcycle moped,Households with landline only,Households with mobile only,"households with tv,computer,laptop,telephone,mobile phone,scooter and car",Households with television,Households with mobile phone,Households with telephone and mobile phone both,Occupied houses - Dilapidated,Households with kitchen inside house,Households with bathing facility,Owned households,Rented households,Households using uncovered well water for drinking,Households using handpump/tubewell/borewell for drinking water,Households using spring water for drinking,Households using river/canal water for drinking,Households with drinking water from spring/river/canal/tank/pond/lake/other sources,Househlds with drinking water near house,Households with drinking water source within premises,Households using pond/lake water for drinking,Households using tapwater for drinking,Households with tubewell/borehole for drinking water,Household size: 1 person,Household size: 2 persons,Household size: 1-2 persons,Household size: 3 persons,Household size: 3-5 persons,Household size: 4 persons,Household size: 5 persons,Household size: 6-8 persons,Household size: 9+ persons,Households with drinking water away from house,sex ratio,Literacy rate
138,Haryana,Bhiwani,28.728868064516128,76.02110225806452,1634445,866672,767773,1069871,643158,426713,341162,181475,159687,0,0,0,623006,430678,192328,445675,177331,1011439,288543,103788,14855,215820,1611031,15515,873,2401,254,1016,26,3329,88938,266244,5292,25236,357047,99235,456282,186145,148995,104875,964960,405760,261428,99232,16793,58375,66069,10057,221159,11346,176336,242718,11502,15893,289221,241914,293443,11408,22116,68692,67,347,9831,84400,164410,3557,203509,36262,5367,16409,21776,30859,175604,75191,69554,88960,22472,60002,0.8858864714678679,65.45775477302693
139,Haryana,Faridabad,28.14873109756098,77.32718536585368,1809733,966110,843623,1272739,734940,537799,223799,119495,104304,0,0,0,579229,476933,102296,495316,83913,1230504,27705,29288,32286,489950,1588407,161680,9743,34572,640,4883,249,9559,258422,333171,43437,82673,87700,382981,470681,137902,178846,259933,1095602,481318,231029,170927,63470,67341,152884,20485,240316,64331,279652,302937,42136,9755,334623,313812,276186,69917,188,114361,117,187,26539,65216,253688,5639,211123,46224,10026,24687,34713,42722,201457,84281,74454,94686,22210,34162,0.8732163004212771,70.32744609287668
140,Haryana,Fatehabad,29.57298318584072,75.54608716814157,942011,495360,446651,557578,327471,230107,284357,149111,135246,0,0,0,369083,263498,105585,286258,82825,572928,132250,97997,6558,132278,779243,8360,996,150969,171,1172,530,570,51693,153301,3210,13142,203020,55360,258380,103541,61476,37741,555745,237009,147469,86268,14030,29817,52633,4347,120937,7830,107042,136196,10912,9757,159106,152219,162708,8832,228,41039,28,1970,5126,39877,122912,1773,128708,25578,3026,9731,12757,17216,99951,41231,41504,51558,11828,13305,0.9016694928940568,59.19017930788494
141,Haryana,Gurgaon,28.043894789579163,77.01935130260523,1514432,816690,697742,1111116,638666,472450,197937,104332,93605,0,0,0,544716,432456,112260,487441,57275,969716,56046,27097,18228,443345,1408801,70842,9725,15097,944,7451,254,1318,238359,305751,67087,102343,141703,381988,523691,126920,150120,233402,875531,428101,210307,103261,92934,83772,131478,19984,201135,86768,248024,274931,53812,11975,304118,290709,211728,98060,587,93746,71,264,6361,44026,257287,1253,219377,81189,15610,33002,48612,48505,189075,81885,58685,66325,16630,19329,0.8543535490822711,73.3684972319655
142,Haryana,Hisar,29.23628731117825,75.84324682779452,1743931,931562,812369,1114311,670200,444111,408785,217338,191447,0,0,0,691621,488321,203300,531227,160394,1052310,261120,144213,16097,270191,1701061,21650,1945,12270,334,3620,33,3018,110495,285004,10132,33400,302013,154113,456126,197303,144626,105346,1017830,456536,265109,147721,24642,65713,90721,11379,231246,21142,202588,259276,16651,15588,305078,273915,295628,23078,12798,78490,53,4199,11939,76543,194669,4792,218535,11612,5846,17116,22962,32391,188751,80345,76015,91914,21419,53834,0.87205038419343,63.89650737328484
143,Haryana,Jhajjar,28.59651868131869,76.61137142857145,958405,514667,443738,676091,399480,276611,170448,90856,79592,0,0,0,326534,250020,76514,246457,80077,631871,112389,44845,9254,160046,945693,8247,734,1042,105,645,22,1917,70149,168558,5034,19241,211816,78328,290144,90737,97457,58826,549975,245095,162356,69952,14298,40791,52868,11057,123227,9674,128007,145032,10748,8744,170101,153834,168223,12154,5301,36644,41,173,6599,36547,114081,1670,133448,14363,3807,10084,13891,19716,105616,45175,40725,50636,13257,32772,0.8621846747508584,70.5433506711672
144,Haryana,Jind,29.45149821958457,76.29598575667653,1334152,713006,621146,832758,502049,330709,282351,150940,131411,0,0,0,523422,368277,155145,385851,137571,810730,230387,102071,9114,181850,1276669,23016,889,29103,172,2594,56,1653,78386,222462,5263,23750,278335,89665,368000,136892,107994,64599,784085,335704,213478,113068,15836,40480,61694,11087,168445,10485,160742,193577,14045,10853,221117,186317,227870,12316,15600,89084,39,542,6732,73935,119784,1170,129177,43302,4228,13046,17274,23783,134056,55033,55240,73299,19953,50863,0.8711651795356561,62.41852502563427
145,Haryana,Kaithal,29.96068539094649,76.37698930041155,1074304,571003,503301,646529,385782,260747,247513,131486,116027,0,0,0,373899,292696,81203,290663,83236,700405,128016,85651,9450,150782,974520,8232,1769,87558,265,351,70,1539,62668,187349,3724,15301,231091,75696,306787,119345,82297,51043,630194,265813,176320,95704,12792,36696,59238,6044,138662,8124,140195,153352,8646,9252,173902,153556,189832,7550,1443,77712,36,354,4132,60650,114419,897,116339,45149,3676,11442,15118,19624,111504,45618,46262,59344,14255,25152,0.8814331973737441,60.18119638389133
146,Haryana,Karnal,29.703200647249204,76.87488025889972,1505324,797712,707612,978013,564516,413497,339604,179681,159923,0,0,0,516062,411646,104416,411533,104529,989262,112288,133723,15311,254740,1341002,31650,2049,126207,532,1516,49,2319,143133,267223,11163,29253,292682,135920,428602,155839,124790,101387,884972,380409,234684,143754,26238,39322,108101,9579,188467,20819,215813,215865,17819,11884,252406,238149,258981,19328,151,51117,46,84,3507,45033,225116,277,229500,29657,5761,17461,23222,29082,161777,66304,66391,81876,17676,14402,0.8870519686302826,64.97026553751883
147,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,964655,510976,453679,646893,370828,276065,215128,113311,101817,0,0,0,336780,268556,68224,285904,50876,627875,68908,85890,6726,175256,805175,15970,1943,140395,214,375,106,477,90150,171908,7356,21951,203553,88268,291821,94530,81964,71007,552034,250830,160216,107683,20261,30979,73765,8235,119559,15839,143316,145855,18061,7231,158156,152922,162147,13063,40,25561,42,17,1052,28663,144159,59,152471,23107,3540,11148,14688,18809,104115,43935,41371,48824,11764,6569,0.8878675319388778,67.05951868802836
