,state,district,latitude,longitude,population,male,female,literate,literate males,literate females,Scheduled Caste,Scheduled Castes - Males,Scheduled Castes - Females,Scheduled Tribes,Scheduled Tribes - Males,Scheduled Tribes - Females,Workers,Male workers,Female workers,Main workers,Marginal workers,Non-workers,Cultivator workers,Agricultural workers,Household workers,Other workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other religions,Religion not stated,Households with LPG or PNG,Households with electric lightning,Households with internet,Households with computer,Rural households,Urban households,households,Below primary education,Higher graduation,Graduate education,Individuals in age group 0-29 years,Individuals in age group 30-49 years,Individuals in age group above 50 years,Households with bicycle,Households with car/jeep/van,Households with radio transistor,Households with scooter motorcycle moped,Households with landline only,Households with mobile only,"households with tv,computer,laptop,telephone,mobile phone,scooter and car",Households with television,Households with mobile phone,Households with telephone and mobile phone both,Occupied houses - Dilapidated,Households with kitchen inside house,Households with bathing facility,Owned households,Rented households,Households using uncovered well water for drinking,Households using handpump/tubewell/borewell for drinking water,Households using spring water for drinking,Households using river/canal water for drinking,Households with drinking water from spring/river/canal/tank/pond/lake/other sources,Househlds with drinking water near house,Households with drinking water source within premises,Households using pond/lake water for drinking,Households using tapwater for drinking,Households with tubewell/borehole for drinking water,Household size: 1 person,Household size: 2 persons,Household size: 1-2 persons,Household size: 3 persons,Household size: 3-5 persons,Household size: 4 persons,Household size: 5 persons,Household size: 6-8 persons,Household size: 9+ persons,Households with drinking water away from house,sex ratio,Literacy rate
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,1369597,1371642,1483347,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,1066460,257207,1417572,363737,484912,84661,390357,2399901,275970,15422,1377,25510,617,322,22120,194954,566108,5512,45202,597466,220248,817714,232470,143143,100226,1536378,704551,422522,150289,8338,25190,96998,15483,374630,9483,306433,403530,13417,35823,510399,378259,559211,77594,93294,267233,2294,3303,14508,212025,229686,1521,270862,79354,27018,80780,107798,103066,417387,182282,132039,114585,12000,210059,1.0014931399528475,54.112282803506005
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,2064495,2016653,2310960,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,1679655,356511,2044982,413253,879537,105343,638033,3599372,443456,20463,932,341,1417,309,14858,223016,897970,8606,48299,902997,341431,1244428,462273,162175,144915,2189396,1104565,739612,206433,9915,63528,144214,24039,534408,14470,559461,581087,22640,23899,713663,755971,779195,172680,5049,117001,552,469,17308,528245,225275,201,819675,43685,36633,106460,143093,156107,644263,291388,196768,153243,20566,207645,0.9768262940816035,56.62524368143473
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,2090204,2083860,2667878,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,1669852,263505,2240707,434544,748093,57269,693451,3737588,397870,24129,867,253,1322,358,11677,324406,944555,13763,67087,907970,395900,1303870,522961,265199,246409,2148179,1159053,807430,225856,16296,93489,186568,35378,561188,24934,611465,632803,36237,30849,777100,754648,815953,196720,8192,135531,349,548,40322,539408,342011,494,835606,92651,55151,132169,187320,175853,678054,311451,190750,142837,13905,140697,0.9969648895514505,63.915598802509976
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,2569688,2584608,3288577,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,1748117,345564,3060615,160407,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,9661,479914,1297273,22411,93784,1199479,406362,1605841,669420,271809,263023,2724328,1478954,948122,779052,25381,113126,232073,65415,614288,34494,821421,732492,52789,46973,869294,869464,1088823,278383,121195,342767,4440,6523,27864,558347,613789,5684,908806,40397,95856,239150,335006,275218,952492,468704,208570,112434,7478,235274,1.00580615234223,63.80264152466215
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,2440521,2447292,2960441,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2106326,275298,2506189,302341,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,15982,648568,1186028,19383,80434,1069877,513113,1582990,736270,246580,221924,2583462,1371811,928462,454586,17424,106907,190079,62229,617321,28457,816849,733133,53583,44968,917356,904201,981115,276073,67710,428749,1299,4238,47242,465404,554667,5833,739450,73453,83026,212589,295615,229537,842985,413160,200288,139120,10111,267760,1.0027744075957552,60.56780404651324
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,2018575,1924748,2892155,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,1096081,317216,2530026,28308,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,62142,581509,869721,149034,274653,0,1066289,1066289,230962,517425,558090,2249130,1068243,542669,229561,124106,288188,439890,91702,583744,200317,746818,799174,123728,8198,868553,873099,437146,422826,913,8759,621,84,8678,47880,814362,1196,862054,6139,20495,90415,110910,135609,546260,236179,174472,181806,42536,19270,0.9535181997200995,73.34309160066269
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1880800,1895469,2206829,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,1590304,286464,1899501,360390,756859,168340,591179,3491139,244723,24979,2086,332,312,115,12583,344667,926768,8831,46584,877236,288044,1165280,340372,293493,256633,1940234,1031735,728494,406211,14175,37212,192965,25539,648422,16190,589283,691495,17534,42493,642642,675283,823820,141432,133499,135427,1037,305,25074,197387,633350,299,681510,65437,55169,146503,201672,166249,649211,306232,176730,120450,9406,150002,1.0077993407060826,58.43940143035361
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,1390988,1406382,1630234,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,1215871,194191,1387308,224972,804537,19799,360754,2595321,158887,33463,655,217,459,539,7829,219710,668519,8628,42171,669262,201363,870625,295639,154774,160804,1530602,774583,477955,267852,11887,35761,115078,19525,389453,15140,416734,427722,18744,33533,435972,403739,616617,115379,46922,210458,1327,4467,16502,240615,354579,889,468045,61127,39441,120442,159883,144836,512966,254089,114041,69643,5094,152392,1.0110669538486314,58.27738196949277
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,2267375,2250023,3009718,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,1744978,303902,2468518,150166,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,31597,632890,1163932,30438,101450,909292,567042,1476334,618101,312753,328454,2340943,1284630,833959,525079,27969,112568,212111,76037,598166,43264,794346,743696,69493,41217,838939,897201,863382,328243,87080,205072,1490,1097,26322,387804,611878,6592,903992,43371,81004,218150,299154,235751,824868,417156,171961,95350,7885,227575,0.992347097414411,66.62503503122815
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,2039227,2014236,2127161,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,1757520,271905,2024038,310954,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,17520,195001,816721,10081,56478,783853,306982,1090835,521327,152453,115504,2368684,1053618,609027,271815,10622,79714,118153,30605,519103,15373,543044,572406,22698,24332,752035,702120,710444,156505,17204,138946,5694,6352,20685,431425,227045,3297,696977,38696,29425,86663,116088,120568,547505,238908,188029,181675,31914,218712,0.9877448660693489,52.47762222080231
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,4053028,2050386,2002642,1940646,1158386,782260,708954,356099,352855,364269,187035,177234,2082501,1140067,942434,1815643,266858,1970527,569142,931084,57846,524429,3673456,334172,21345,658,290,388,267,22452,136843,757821,6153,60812,848963,161052,1010015,419379,169083,98227,2360874,1027525,637430,151754,12615,60282,121553,23880,527437,11293,362791,570261,18944,48768,595275,508140,800743,66068,5990,166074,1908,2595,17166,329098,290371,774,681260,58931,25689,79590,105279,120964,541398,225428,195006,191259,35923,254390,0.9767146283675366,47.881386459703705
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,3033288,1523030,1510258,1637137,953406,683731,537947,266413,271534,168985,86574,82411,1442203,837874,604329,1195494,246709,1591085,353221,571129,67642,450211,2637313,342449,34301,1309,554,457,217,16688,163074,604719,8635,47170,593653,195479,789132,324267,201928,127493,1735769,779738,509368,232114,14362,69729,119276,28285,430639,15872,349304,482440,23516,24473,508133,421856,570933,90125,9627,149702,319,316,10443,228110,278173,386,494042,92845,19664,65211,84875,96457,419073,178179,144437,140018,22798,160481,0.9916140850803989,53.972356070376435
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,3488809,1759772,1729037,2001019,1160757,840262,637385,318359,319026,394279,203876,190403,1741693,976428,765265,1493419,248274,1747116,325224,863131,45124,508214,3249231,188646,35025,937,241,250,132,14347,228818,789225,7715,53777,833504,197433,1030937,369537,238695,196134,1932349,897137,651748,286559,18927,44340,143010,23899,545350,15308,464172,588791,19542,45358,460960,479824,760789,103172,28731,162241,763,1096,81060,298874,347474,258,598439,66625,45165,120169,165334,144858,578886,270974,163054,119437,11775,229084,0.9825346692639728,57.35536109887357
13,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,2551335,1250641,1300694,1389810,790214,599596,371074,178798,192276,192941,95679,97262,1261076,684320,576756,1055965,205111,1290259,278102,448281,171311,363382,2123426,391596,19653,2357,1847,542,146,11768,186740,545913,5261,35036,565165,155133,720298,269487,223365,141850,1399773,676401,437573,212631,10088,46837,102049,23277,385123,9899,308270,428744,20344,22717,448674,428790,490840,93887,8125,114151,391,335,15818,218935,242762,823,450359,78420,23207,67384,90591,94217,379595,163189,122189,107972,12575,129036,1.0400218767815863,54.47383428675576
14,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,1714764,1682684,1904435,1107686,796749,787861,397242,390619,151145,76677,74468,1700567,991842,708725,1463508,237059,1696881,280029,889218,42603,488717,3150195,220654,18775,266,97,204,206,7051,290947,763746,6151,43611,873486,214089,1087575,489805,142026,133627,1832695,917391,641707,226045,9071,40847,105940,25076,451056,10365,468022,494689,18557,32095,518496,528518,717208,127205,91097,244709,3379,2055,36075,406577,197300,6529,481021,78693,51012,130198,181210,144923,548015,251635,151457,115932,12119,253399,0.9812918862304084,56.054868242280676
15,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,2703114,1341738,1361376,1495381,857824,637557,255664,125214,130450,166118,81382,84736,1290288,766483,523805,936244,354044,1412826,165317,700833,34479,389659,2666950,9025,18879,193,77,160,106,7724,149554,615432,3988,32280,752752,149684,902436,291793,146721,121213,1423119,747385,528736,180824,5264,19494,64087,18802,294830,6316,297418,332230,18598,21961,548681,178089,610487,68045,199161,282509,2719,10077,17894,394989,107308,1567,179917,85253,42847,86481,129328,118149,464451,224481,121821,85869,9675,187026,1.0146362404582714,55.32067829917643
16,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,2344474,1161477,1182997,1238388,707503,530885,247728,121493,126235,235556,114687,120869,1157962,679289,478673,953215,204747,1186512,212285,557254,27469,360954,2299129,16423,17853,380,114,815,183,9577,140361,527736,4453,24128,592458,157056,749514,250446,115144,103591,1206366,666394,451469,168297,5002,28633,61858,13208,236327,7516,278230,265587,16052,17903,443111,242486,514227,68076,73701,246172,6785,2591,12979,396943,95138,2588,259205,59276,30854,74473,105327,104907,403386,192867,105612,80085,7807,104524,1.0185281327137774,52.82157106455435
17,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,3512576,1759281,1753295,2065023,1179790,885233,616102,307709,308393,530656,268976,261680,1705655,960926,744729,1442197,263458,1806921,401646,758092,43550,502367,3273755,197333,31377,1453,253,569,126,7710,237349,828077,12952,59006,758738,288249,1046987,314252,279234,248942,1891954,941452,664872,311837,15727,71400,139404,34782,508632,22196,462819,568508,25094,62158,476334,504897,761465,117060,67830,174218,1117,507,42801,216245,461825,698,597926,70325,43692,124347,168039,144960,593070,285338,162772,117016,10428,210483,0.9965974736270101,58.78941836418628
18,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3936966,1964918,1972048,2652389,1379223,1273166,811698,403693,408005,109072,53367,55705,1773112,1199338,573774,1534166,238946,2163854,155275,1061787,33861,522189,3733191,86142,109120,288,209,1578,211,6227,435334,1017568,12050,55613,1007255,248373,1255628,595331,215863,207586,2051513,1127764,755533,605463,14687,70135,182698,56671,478091,19128,648607,578252,43490,46343,645717,720167,836015,207958,20184,126299,264,8333,26637,338966,593261,10333,900503,17816,70587,193110,263697,211052,724609,363280,150277,82492,4982,143553,1.003628650152322,67.37139716218022
19,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,148226,76948,71278,73174,44027,29147,0,0,0,53878,27061,26817,62966,39329,23637,50765,12201,85260,39732,4208,496,18530,47683,2134,35969,94,50381,95,11738,132,4762,14593,170,1486,33422,6498,39920,20425,5641,3633,96630,35018,16414,13306,1102,6639,2450,434,9224,499,9314,10621,963,455,26837,9721,20141,5793,3501,9164,979,1748,3164,10346,12040,52,12297,2057,1429,2130,3559,3395,13892,5197,5300,8962,2015,6042,0.9263138743047252,49.3665079000985
20,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,78690,38775,39915,38449,21599,16850,0,0,0,72400,35266,37134,31710,16424,15286,27123,4587,46980,21835,1063,273,8539,12333,652,37136,36,452,23,27868,190,3583,5318,57,885,14503,5215,19718,11713,4510,2330,53752,17922,6960,755,577,2116,1382,262,3378,203,3169,4178,538,371,13486,4477,12051,2014,296,46,1375,1309,3008,7097,2839,164,11181,44,494,1068,1562,1626,6187,2156,2405,5600,1261,4674,1.0294003868471953,48.861354682933026
21,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,99214,50116,49098,62576,34210,28366,0,0,0,69979,34533,35446,40222,23591,16631,33578,6644,58992,20185,3565,493,15979,27854,2289,18254,69,776,30,49393,549,4866,14231,450,1582,19497,9524,29021,9938,9498,6540,61993,25334,11802,6380,2072,7467,4568,943,10557,930,9363,12744,1244,465,18182,8399,11640,5518,733,3798,485,633,1447,7331,7504,135,12954,455,1215,1598,2813,1966,8102,2950,3186,6270,1910,4260,0.9796871258679862,63.07174390710988
22,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,92076,45318,46758,36606,20258,16348,0,0,0,90764,44459,46305,38044,18429,19615,24372,13672,54032,27417,2947,833,6847,4859,471,51189,43,121,81,34158,1154,586,3911,95,969,18603,1092,19695,12661,4353,2031,64379,20713,6836,189,605,3167,884,156,2988,106,1320,3318,174,1962,15498,2173,15458,410,951,99,3613,2385,8113,7920,1688,390,6770,99,184,648,832,1247,5358,1898,2213,8718,1054,6354,1.0317754534622003,39.756288283591815
23,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,145726,76221,69505,83062,48380,34682,0,0,0,47410,23457,23953,60945,38910,22035,50754,10191,84781,29909,7789,786,22461,99020,3846,10684,210,24452,104,7277,133,6549,17157,312,1471,33599,11372,44971,19306,7612,5180,94890,35493,15195,16426,1203,6169,3884,752,11499,631,12215,13372,1121,1590,27644,11806,17340,7188,925,16855,104,1739,2480,7993,16365,181,8500,2548,1667,2314,3981,3828,15082,5588,5666,8813,1531,5049,0.911887799950145,56.998751080795465
24,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,54080,28053,26027,31849,18087,13762,0,0,0,25974,12649,13325,22326,14102,8224,19829,2497,31754,9687,3354,233,9052,28915,2247,9213,33,2932,19,10393,328,3068,5932,207,742,12000,3950,15950,5875,3570,2795,35140,13254,5652,4410,703,2736,2128,217,5804,346,4345,6616,595,359,10559,4945,5317,3805,154,2577,81,750,1069,3148,5416,16,7059,139,926,1038,1964,1399,5222,1975,1848,3048,649,2319,0.9277795601183474,58.89238165680474
25,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,83030,41843,41187,54057,29470,24587,0,0,0,72911,35803,37108,30202,17339,12863,22669,7533,52828,13656,1968,435,14143,9551,1482,34402,27,193,13,37085,277,4211,12493,381,1598,18112,5365,23477,8492,7674,5230,55258,20305,7412,1063,2002,3921,2973,505,7429,655,7285,9532,1598,204,14643,8804,11259,3062,505,142,425,600,1540,5240,7800,169,12831,142,960,1225,2185,1636,5721,2058,2027,5450,1778,2094,0.9843223478240088,65.1053835962905
26,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,176573,89182,87391,121048,65794,55254,0,0,0,117216,56469,60747,65772,41263,24509,51157,14615,110801,14104,1859,1543,48266,57027,6148,84397,310,4768,139,22586,1198,22966,30539,2477,7418,20308,30180,50488,15368,17342,13840,120592,43812,11856,3898,6454,5958,8668,1397,22828,4243,23203,27411,3186,1243,31671,23052,15037,12769,2472,662,976,1653,3384,9481,19772,346,25063,502,1943,3138,5081,4629,16296,6373,5294,9382,2717,4223,0.9799174721356327,68.55408244748631
27,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,49977,29151,20826,26073,17720,8353,0,0,0,34811,16770,18041,28561,19554,9007,24430,4131,21416,7631,1581,114,19235,11842,787,776,1164,34920,72,349,67,3794,8635,96,494,10730,2452,13182,4904,1989,1379,30709,13849,5399,105,895,2356,205,771,2310,247,4824,4036,955,333,9277,3562,6820,2134,16,8,772,165,1797,3654,3806,40,7643,8,1194,1203,2397,1580,4886,1777,1529,2034,160,2017,0.714418030256252,52.169998199171616
28,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,111975,57604,54371,47974,29313,18661,0,0,0,98372,49365,49007,50169,27545,22624,44262,5907,61806,35967,1811,836,11555,20682,1103,83361,61,778,43,5325,622,3104,16026,98,888,18420,6500,24920,13585,4305,2134,71785,25669,14423,963,679,2281,1369,163,6563,216,6118,7182,456,215,18949,6582,15861,2575,1425,133,3127,1627,5886,7290,4989,384,11931,117,944,1418,2362,1989,7974,2960,3025,6681,2468,7206,0.9438754253176863,42.843491850859564
29,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,35320,18699,16621,18195,10723,7472,0,0,0,28468,14413,14055,17644,9968,7676,14524,3120,17676,9976,804,591,6273,5261,411,5643,27,2577,7,20967,427,1504,6198,97,392,8569,2182,10751,3952,2211,1349,21090,8910,5252,136,430,1415,1031,99,2890,165,2823,3491,502,40,6946,2714,5393,1047,7,1,220,35,374,3801,2537,5,6796,1,795,833,1628,837,2749,934,978,2100,709,848,0.8888710626236697,51.514722536806346
30,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,83448,41758,41690,45278,24807,20471,0,0,0,78323,38570,39753,33370,17898,15472,25717,7653,50078,21690,1846,481,9353,13474,521,8779,28,297,11,59449,889,3123,5373,139,750,14542,4672,19214,10219,8017,4276,56054,20055,7230,782,569,4629,1435,475,2569,189,3580,3653,609,354,15025,5007,13420,1635,112,47,903,978,3616,7080,3847,106,11712,11,364,1162,1526,1714,6935,2530,2691,6174,906,4614,0.998371569519613,54.25893969897421
31,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,83947,46155,37792,48492,29566,18926,0,0,0,46380,22771,23609,42493,28313,14180,34752,7741,41454,14476,1705,801,25511,31265,1970,8466,328,36087,71,5556,204,7133,14188,202,887,17889,6306,24195,8836,3987,2693,53026,22362,8493,348,1299,3081,1045,434,6641,371,8634,7942,867,429,14843,7421,9390,5787,30,92,775,693,2192,7026,6902,254,14074,92,1439,1689,3128,2447,8509,3294,2768,4146,622,2477,0.8188061965117539,57.76501840446948
32,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,112274,58168,54106,64746,36777,27969,0,0,0,92783,45746,47037,49177,29156,20021,43000,6177,63097,28852,1384,298,18643,15881,2218,29969,577,3311,49,60005,264,6115,14204,303,1300,22272,8503,30775,14227,8418,6030,70415,28305,13469,2129,1964,4771,4023,869,7725,621,9593,10217,1623,228,19907,10692,14876,4678,199,541,882,914,2260,7809,9685,27,17389,84,1017,1395,2412,1944,8169,2896,3329,7494,2399,2980,0.9301677898500894,57.66784829969539
33,Assam,Barpeta,26.427872264631056,90.97912010178116,1693622,867004,826618,897058,499038,398020,95320,49165,46155,27344,13530,13814,561824,445297,116527,439453,122371,1131798,205259,98946,30342,227277,492966,1198036,1020,112,49,399,14,1026,50806,84804,2078,25286,447189,52192,499381,210607,87377,46947,1072312,405046,215355,181352,5560,66059,24913,4125,143945,3522,55319,151699,3629,59957,188162,97152,326160,7625,12995,296555,479,7691,21297,74876,220128,976,5966,20547,8117,23690,31807,47692,190552,74238,68622,95730,20383,43468,0.9534189000281429,52.9668367557814
34,Assam,Bongaigaon,26.45012521994133,90.6734296187684,738804,375818,362986,434078,237114,196964,82784,42513,40271,18835,9377,9458,255806,197542,58264,191671,64135,482998,83442,47406,9485,115473,359145,371033,5924,384,236,871,9,1202,29937,49866,2523,12959,181923,38470,220393,93591,35491,20221,458796,184849,94939,97820,5837,26375,16579,3604,70455,4174,36350,78595,4536,16667,91788,47000,134382,12007,46422,85906,418,2463,6790,28239,103898,159,8885,10563,4790,10961,15751,23471,85826,34496,27859,39096,9614,18150,0.9658558131861699,58.75414859692151
35,Assam,Cachar,24.815570668693017,92.86849650455927,1736617,886284,850333,1174128,639946,534182,264897,136051,128846,17569,8736,8833,608062,469752,138310,471259,136803,1128555,120356,68664,24466,394576,1038985,654816,37635,280,341,1673,98,2789,62135,140205,5316,37541,346227,88933,435160,256855,79766,45341,1048990,444899,241776,93297,8700,57825,22647,8808,149865,6365,99887,168487,9814,40800,357096,159266,324905,25190,98179,18687,8090,39475,109855,169873,80138,60245,134160,11692,16072,40838,56910,61055,203831,76457,66319,93340,13962,118032,0.9594362529392384,67.61007176596797
36,Assam,Darrang,26.58463215962442,92.04141338028155,928500,475273,453227,487039,268666,218373,40260,20566,19694,8419,4300,4119,324843,246864,77979,241456,83387,603657,129456,81617,10542,103228,327322,597392,1688,431,57,724,19,867,17676,45444,1166,12084,268517,20189,288706,119027,47398,22267,583436,226525,118102,109858,3533,52657,13662,2954,67484,2046,30616,72141,1703,32272,89914,46789,180669,3789,9761,162815,216,3593,9808,43447,110458,1467,4865,7467,5759,13648,19407,28435,106839,42950,35454,50693,11113,34147,0.9536140281480329,52.4543887991384
37,Assam,Dhemaji,27.586533438485816,94.71336908517353,686133,351249,334884,423028,237761,185267,44225,23006,21219,325560,165449,160111,316800,186577,130223,201364,115436,369333,231937,19181,7224,58458,655052,13475,8711,297,911,167,6315,1205,16547,28195,1192,10410,211758,16504,228262,79107,55399,28006,434221,169630,82051,83663,3504,41278,12293,2358,53184,1764,25776,57166,1624,12631,118022,37742,122182,5984,9430,102172,409,7501,14237,38063,71165,3574,2965,36334,2272,6031,8303,14583,69390,27022,27785,41922,9944,20331,0.9534091200259645,61.65393589872517
38,Assam,Dibrugarh,27.30612284482757,95.0998282327587,1326335,676434,649901,884531,491361,393170,58876,30517,28359,102871,51835,51036,560557,368013,192544,391597,168960,765778,135194,61209,14362,349792,1198401,64526,52968,2261,4673,1055,46,2405,76292,136685,8817,34479,299852,77163,377015,143189,89500,59380,767147,371864,186774,172503,21112,70499,44664,8009,122011,14742,121737,139869,9849,14749,262021,177759,195303,38157,8469,227877,264,1931,5810,69884,184468,665,29708,65235,7689,20405,28094,40321,161208,65072,55815,70958,12681,18589,0.9607751827968435,66.68986342062902
39,Assam,Goalpara,26.017277777777807,90.59869891598912,1008183,513292,494891,563577,304302,259275,45094,22999,22095,231570,116013,115557,362573,267118,95455,266376,96197,645610,126549,75828,14346,145850,347878,579929,77862,771,194,477,103,969,21455,78641,1364,13524,228610,39504,268114,124700,39885,18294,650509,239831,117427,113964,4112,42290,15292,2747,87967,2183,42628,93630,2916,23559,112139,60181,190189,4793,53175,126514,2042,3609,11852,44095,115683,138,4201,9092,5075,13846,18921,28639,108374,42030,37705,56821,13429,37767,0.9641510095618089,55.90026810608788
40,Assam,Golaghat,26.377219709794485,93.82583397823468,1066888,543161,523727,721764,396475,325289,62298,31807,30491,111765,56420,55345,479928,309104,170824,331210,148718,586960,190590,66616,15068,207654,917426,90312,50582,1131,3863,530,1347,1697,40889,82345,3073,17636,292893,34190,327083,117393,66197,36887,629153,289085,148244,157029,9295,59992,27300,5124,93847,5146,70930,103909,4938,16875,210740,123520,193055,12450,12162,165581,485,3442,13881,64252,103715,8486,31806,43628,6011,16114,22125,36345,137370,55653,45372,55869,9489,56886,0.964220553390247,67.6513373475004
41,Assam,Hailakandi,24.457496089385486,92.59154664804475,659296,337890,321406,407366,226836,180530,70659,36369,34290,691,354,337,214240,170792,43448,165193,49047,445056,65673,31248,7313,110006,251194,397653,8480,84,490,247,636,512,11035,44143,1211,10615,159215,16202,175417,88596,28504,11608,419921,156243,82841,27808,2583,17228,5589,3256,49610,880,19998,55345,2479,23127,139747,49075,134032,4264,24726,9661,9712,15503,82938,75014,15369,55524,24859,5379,8648,16921,25569,22356,73531,26771,24404,38038,6429,53184,0.9512148924206103,61.78802844245984
42,Assam,Jorhat,26.76244824016563,94.30197722567289,1092256,556805,535451,794929,432335,362594,88665,45194,43471,139971,70795,69176,498618,320746,177872,338635,159983,593638,145885,53153,31543,268037,1008219,54684,21051,1540,2378,719,578,3087,71639,122063,5651,26357,286330,80824,367154,99454,97025,62608,604908,315550,171062,164118,16081,53465,44159,7387,114237,11198,92598,128081,6457,16833,224498,145819,196137,21137,15163,107878,325,6943,42525,81844,104722,34072,65585,36039,7211,18085,25296,38630,144578,59963,45985,53066,10178,46552,0.9616490512836631,72.7786343128351
43,Assam,Kamrup,26.170939452054807,91.58863273972592,1517542,778461,739081,995319,550219,445100,107827,55237,52590,182038,92094,89944,628954,428492,200462,421244,207710,888588,185803,99522,69106,274523,877495,601784,33297,319,185,1330,55,3077,70272,122191,3109,23468,390596,43849,434445,163849,118849,55011,895775,408232,212740,199425,10052,113039,34461,8214,152132,4861,90941,164899,4553,36453,211276,124575,295002,7808,36031,242635,4528,2846,12040,61695,197830,412,11130,5577,6457,17754,24211,40617,184261,75358,68286,79952,16918,45817,0.9494130084872588,65.58757517090137
44,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,956313,490167,466146,557214,314253,242961,44961,23436,21525,538738,272460,266278,383441,246193,137248,260482,122959,572872,223020,60952,9861,89608,766000,20290,157789,370,6260,397,3568,1639,18763,53918,1923,11340,215691,37185,252876,109324,40602,18225,618633,233739,103123,97148,3934,49689,13699,4399,69985,2124,56689,78269,3885,7435,143977,51860,155192,16484,66089,55973,15916,11180,34631,59185,62343,3965,12163,14978,4739,10667,15406,21086,87093,32646,33361,59266,15226,55463,0.9509942529790867,58.26690633715113
45,Assam,Karimganj,24.69660712250711,92.3679498575498,1228686,625864,602822,795297,435942,359355,157890,81384,76506,1940,994,946,399171,319798,79373,293392,105779,829515,94348,67033,17435,220355,521962,692489,11990,114,446,524,110,1051,28261,70951,1933,24699,261945,32695,294640,198059,39637,21408,779850,284368,163990,38218,3757,24956,7289,4786,94620,1529,38570,105749,6343,35405,241033,98861,230546,10212,54614,38965,4523,23667,116430,120544,44183,84284,31884,17639,12064,25453,37517,35171,119294,43298,40825,72351,18085,82520,0.9631836948602253,64.72744053403392
46,Assam,Kokrajhar,26.497246635730868,90.13997470997688,887142,452905,434237,489305,275220,214085,29570,15386,14184,278665,139579,139086,341131,236322,104809,253110,88021,546011,156753,56330,12423,115625,529068,252271,101091,93,1718,396,123,2382,15089,41373,1218,14063,204896,17115,222011,116899,39571,17287,552671,224715,108956,115712,2996,17083,12191,2751,70925,2167,32320,75903,2227,22357,116870,28132,171597,4205,63325,96490,1406,3748,12531,42957,103512,379,5098,23313,4612,13066,17678,26736,102861,40099,36026,50540,8992,33602,0.9587816429494044,55.15520626912039
